date,agenda,speechnumber,speaker,party,chair,text,agenda_id,agenda_topics,agenda_title,num_topics,agenda_speechnumber,agenda_title_normalised,word_count
1988-12-05,Housing [Oral Answers To Questions > Wales],70,Paul Flynn,Lab,False,To ask the Secretary of Wales what action he has taken to ascertain the views of Welsh local authorities on the future of housing in Wales.,147,"['Oral Answers To Questions', 'Wales']",Housing,2,1,housing,26
1988-12-05,Housing [Oral Answers To Questions > Wales],71,Ian Grist,Con,False,"Local authorities have been extensively consulted about the Government's policy proposals, and I have regular discussions with local authorities in the forum of the Welsh Housing Consultative Committee.",147,"['Oral Answers To Questions', 'Wales']",Housing,2,2,housing,28
1988-12-05,Housing [Oral Answers To Questions > Wales],72,Paul Flynn,Lab,False,"Does the Minister agree that, according to the new voting rules approved by the Government in the Housing Act 1988, the Labour party won the general elections of 1979, 1983 and 1987? That is especially true in Torbay, where non-voters are counted as having voted in favour of Government policy. The non-voters are the lazy, the apathetic, the sick and the dead. In Torbay, 2,200 voters were outvoted by 700. Is that not a breach of democracy as serious as the selective franchise, the 30-year Parliaments and the rotten boroughs of the previous century? The same thing is happening in Wales. Is the Minister on the side of democracy, or on the side of vote-rigging?",147,"['Oral Answers To Questions', 'Wales']",Housing,2,3,housing,115
1988-12-05,Housing [Oral Answers To Questions > Wales],73,Ian Grist,Con,False,I think that I speak not only for this side of the House when I say that other hon. Members may believe that the hon. Gentleman and the Labour party know more about rotten boroughs than we have forgotten about them.,147,"['Oral Answers To Questions', 'Wales']",Housing,2,4,housing,41
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],195,David Trippier,Con,False,"The House has been patient for the last few weeks in waiting for this debate on housing. The hon. Member for Hammersmith (Mr. Soley) and we, too, have been patient in waiting for it. Now that the moment has arrived, I welcome the opportunity of emphasising the Government's strategy on this important subject. The Government's aim in housing is no different from that of any post-war Government. We want decent, affordable and suitable housing to be within the reach of all families. We differ from other Governments, and certainly the Opposition, on the best way of achieving that aim. Immediately after the war, there were three main policies to restore a decent standard of housing in Britain: first, a huge public sector programme of housebuilding; secondly, restrictions on private house-building to give priority to the public sector programme; and, thirdly, controls to keep rents down in the private rented sector. With about 2 million fewer houses than households, that crash programme approach was fairly understandable. As a direct comparison, today we have more houses than households-in fact, 300,000 more-so circumstances are very different. The post-war approach to housing worked by putting bureaucratic controls in place of market forces. One can do that for a while, but, in the end, market forces will have their revenge. If market forces and the resources of the private sector are suppressed, we will produce less, we will produce goods that people do not want, and it is certain that we will produce the wrong amount in the wrong places. Sadly, the post-war housing policies of big public sector building programmes and controls of private sector rents trundled on unchanged through the 1950s, 1960s and 1970s, long after the crisis of housing shortage everywhere had given way to a much more varied pattern of local needs that could not be solved by that blanket approach. As a result, we now have the largest state-owned or public housing sector in western Europe and the smallest private rented sector. Other countries have been far more successful in maintaining investment in the private rented sector by encouraging private investment, and by using public money to supplement private money rather than to replace it. For example, despite the war's devastation and massive immigration from East Germany, Germany managed to bring demand and supply for rented accommodation back into balance more quickly and effectively that we did. It did that by encouraging private investment. Today, 60 per cent. of German housing is rented, over 40 per cent. of the total is provided by private landlords, 13 per cent. by bodies similar to housing associations, and only 3 per cent. by municipalities. But here in this country, by insisting that subsidised housing had to be built for the public sector, be public sector-owned and have public sector landlords, we also helped to create the major economic problems that were fuelled by the excessive public expenditure which characterised the 1960s and 1970s.",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,1,housing,490
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],196,David Winnick,Lab,False,"A Conservative Government introduced the Rent Act 1957, which was meant to encourage private residential dwellings. As a result of that Act, by the time the Labour Government came to power in 1964, far from there being any increase in private dwellings, there had been a substantial reduction, as well as the scandal of Rachmanism and abuse. People are desperate for accommodation. They come to our surgeries or write to us day in and day out. They cannot afford to become owner-occupiers because they cannot afford a mortgage. How can they afford the new rents which will not be regulated? They cannot afford market rents.",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,2,housing,105
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],197,David Trippier,Con,False,"If the hon. Gentleman had listened a little more carefully, he would have gathered that I made a clear distinction between the policy of this Government and that of past Governments. I included Conservative Governments, too. If the hon. Gentleman follows me a little more carefully and opens his ears instead of his mouth, he will hear my explanation of why the Rent Acts are disastrous. I was referring to the inflation which characterised the 1960s and 1970s. There must be a limit on public expenditure. I accept that Opposition Members do not believe that there should be, but there must be, and I will develop that theme later. If the Government absorb too high a proportion of the national output, they will fuel inflation. That was why we saw the record level of inflation of about 27 per cent. under the last Labour Administration. That was why we had the IMF crisis, and why the last Labour Government were forced to cut public housing investment by one third in their last two years in office. Perhaps this is an opportunity for the hon. Member for Hammersmith to intervene.",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,3,housing,189
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],198,Tony Banks,Lab,False,I will.,1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,4,housing,2
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],199,David Trippier,Con,False,"In doing so, I hope that the hon. Gentleman will explain why the last Labour Government cut public expenditure in public housing.",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,5,housing,22
1989-03-02,Housing [Adjournment (Easter) > Bill Presented],200,Tony Banks,Lab,False,"I realise that the hon. Gentleman is not an economist and does not know a great deal about housing, either, but he is part of the Government. How can he say that the number of homeless has actually doubled since 1979? Surely that deserves an explanation as well?",1041,"['Adjournment (Easter)', 'Bill Presented']",Housing,2,6,housing,48
